"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","NIEVA, ERNESTO ACHECO              BANZAI                              LP                      120,570   May 17,2004","1/6","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 120,570","May 17,2004","NIEVA, ERNESTO ACHECO","LP",TRUE
"2","QUIRANTE, RODOLFO GUERRERO         PANDAY                              NPC                      8,856","1/6","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 8,856",NA,"QUIRANTE, RODOLFO GUERRERO","NPC",TRUE
"3","LIQUIDLIQUID, ABRAHAM ESPILEMBERGO ABE                                 KBL                       635","1/6","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 635",NA,"LIQUIDLIQUID, ABRAHAM ESPILEMBERGO ABE","",TRUE
"4","LOPEZ, JAIME CAMPOS                JIM                                 LAKAS-CMD                46,495   May 17,2004","1/6","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 46,495","May 17,2004","LOPEZ, JAIME CAMPOS","LAKAS-CMD",TRUE
"5","LACSON, MARLON MORALES             NIÑO                                LP                       43,980","1/6","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 43,980",NA,"LACSON, MARLON MORALES","LP",TRUE
"6","MENDOZA, ROBERT BRENT MACHETE      ROBERT OR BERT                      INDEPENDENT               336","1/6","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 336",NA,"MENDOZA, ROBERT BRENT MACHETE","INDEPENDENT",TRUE
"7","ROCES, MILES MARI                  MILES                               LP                       6,347    May 15,2004","1/6","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 6,347","May 15,2004","ROCES, MILES MARI","LP",TRUE
"8","ANGPING, HARRY COSIQUIEN           HARRY                               NPC                        0","1/6","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 0",NA,"ANGPING, HARRY COSIQUIEN",NA,NA
"9","BACANI, RODOLFO CRUZ               RUDY                                LP                       56,713   May 17,2004","1/6","NCR - FIRST DISTRICT","NCR","congressman","4TH DISTRICT"," 56,713","May 17,2004","BACANI, RODOLFO CRUZ","LP",TRUE
"10","BAGATSING, MANUEL SEVILLA          NONONG                              NPC                      42,659","1/6","NCR - FIRST DISTRICT","NCR","congressman","4TH DISTRICT"," 42,659",NA,"BAGATSING, MANUEL SEVILLA","NPC",TRUE
"11","ICAONAPO, JOSE JR. PALMA           JUN                                 INDEPENDENT              5,042","1/6","NCR - FIRST DISTRICT","NCR","congressman","4TH DISTRICT"," 5,042",NA,"ICAONAPO, JOSE JR. PALMA","INDEPENDENT",TRUE
"12","SARZA, JOEL ALMAZAN                JOEL                                INDEPENDENT               165","1/6","NCR - FIRST DISTRICT","NCR","congressman","4TH DISTRICT"," 165",NA,"SARZA, JOEL ALMAZAN","INDEPENDENT",TRUE
"13","HIZON, JOEY DUNGAO                 JOEY                                LDP                      65,524   May 17,2004","1/6","NCR - FIRST DISTRICT","NCR","congressman","5TH DISTRICT"," 65,524","May 17,2004","HIZON, JOEY DUNGAO","LDP",TRUE
"14","ATIENZA, ALEJANDRO ILAGAN          KIM                                 LP                       56,952","1/6","NCR - FIRST DISTRICT","NCR","congressman","5TH DISTRICT"," 56,952",NA,"ATIENZA, ALEJANDRO ILAGAN","LP",TRUE
"15","ENCARNACION, GLORIA WILMA ROSELLO  BABES                               INDEPENDENT               505","1/6","NCR - FIRST DISTRICT","NCR","congressman","5TH DISTRICT"," 505",NA,"ENCARNACION, GLORIA WILMA ROSELLO  BABES","",TRUE
"16","ALVARADO, JUNEL CAPILI             JONEL                               INDEPENDENT               207","1/6","NCR - FIRST DISTRICT","NCR","congressman","5TH DISTRICT"," 207",NA,"ALVARADO, JUNEL CAPILI","INDEPENDENT",TRUE
"17","ABANTE, BIENVENIDO JR. MIRANDO     BENNY                               LAKAS-CMD                41,241   May 17,2004","1/6","NCR - FIRST DISTRICT","NCR","congressman","6TH DISTRICT"," 41,241","May 17,2004","ABANTE, BIENVENIDO JR. MIRANDO","LAKAS-CMD",TRUE
"18","OCAMPO, ROSENDA ANN MALABANAN      SANDY                               NPC                      33,146","1/6","NCR - FIRST DISTRICT","NCR","congressman","6TH DISTRICT"," 33,146",NA,"OCAMPO, ROSENDA ANN MALABANAN","NPC",TRUE
"19","VELOSO, LUCIANO MARIÑAS            LOU                                 PDP-LABAN                19,461","1/6","NCR - FIRST DISTRICT","NCR","congressman","6TH DISTRICT"," 19,461",NA,"VELOSO, LUCIANO MARIÑAS","PDP-LABAN",TRUE
"20","LOGARTA, JULIO JR. ESTEBAN         GING                                AKSYON DEMOKRATIKO       10,261","1/6","NCR - FIRST DISTRICT","NCR","congressman","6TH DISTRICT"," 10,261",NA,"LOGARTA, JULIO JR. ESTEBAN","AKSYON DEMOKRATIKO",TRUE
"21","LAO, CARIDAD DEL ROSARIO           MOMMY LAO                           LDP                       155","1/6","NCR - FIRST DISTRICT","NCR","congressman","6TH DISTRICT"," 155",NA,"LAO, CARIDAD DEL ROSARIO","LDP",TRUE
"22","NUNEZ, ROMEO PAMOR                 OME                                 INDEPENDENT                80","1/6","NCR - FIRST DISTRICT","NCR","congressman","6TH DISTRICT"," 80",NA,"NUNEZ, ROMEO PAMOR","INDEPENDENT",TRUE
"23","SUNGA, EMMANUEL B.                                                                                59","1/6","NCR - FIRST DISTRICT","NCR","congressman","6TH DISTRICT"," 59",NA,"SUNGA, EMMANUEL B.","",FALSE
"24","GALIA, OSWALDO DAGARAGA            JUN                                 DGIPP                      20","1/6","NCR - FIRST DISTRICT","NCR","congressman","6TH DISTRICT"," 20",NA,"GALIA, OSWALDO DAGARAGA","DGIPP",TRUE
"25","ABALOS, BENJAMIN JR. DE CASTRO         BENHUR                              LAKAS-CMD                 78,505   May 14,2004","2/6","NCR - SECOND DISTRICT","NCR","congressman","6TH DISTRICT"," 78,505","May 14,2004","ABALOS, BENJAMIN JR. DE CASTRO","LAKAS-CMD",TRUE
