"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","BERSAMIN, LUIS JR. P.       CHITO                             PDSP                     52,860   May 18,2001","1/12","ABRA","CAR","congressman",NA," 52,860","May 18,2001","BERSAMIN, LUIS JR. P.","PDSP",TRUE
"2","MILLARE, RODOLFO A.         RUDING                            LAKAS NUCD-UMDP          16,570","1/12","ABRA","CAR","congressman",NA," 16,570",NA,"MILLARE, RODOLFO A.","LAKAS NUCD-UMDP",TRUE
"3","ESPIRITU, ISIDRO P.         SID                               IBID                     1,524","1/12","ABRA","CAR","congressman",NA," 1,524",NA,"ESPIRITU, ISIDRO P.","IBID",TRUE
"4","VALERA, VICENTE P.          VIC SYD                           PDSP                     56,654   May 18,2001","1/12","ABRA","CAR","governor",""," 56,654","May 18,2001","VALERA, VICENTE P.","PDSP",TRUE
"5","PACUÑO, ERNESTO P.          DRAGON                            LAKAS NUCD-UMDP          29,920","1/12","ABRA","CAR","governor",""," 29,920",NA,"PACUÑO, ERNESTO P.","LAKAS NUCD-UMDP",TRUE
"6","ALZATE, ROY P.              ROY                               IBID                      704","1/12","ABRA","CAR","governor",""," 704",NA,"ALZATE, ROY P.","IBID",TRUE
"7","LO, JAIME A.                ENGHING                           PDSP                     32,558   May 18,2001","1/12","ABRA","CAR","vice governor",""," 32,558","May 18,2001","LO, JAIME A.","PDSP",TRUE
"8","VALERA, CLARITO T.          LITONG                            INDEPENDENT              22,827","1/12","ABRA","CAR","vice governor",""," 22,827",NA,"VALERA, CLARITO T.","INDEPENDENT",TRUE
"9","DAMASEN, MARLYN M.          INDIMAN                           INDEPENDENT              13,388","1/12","ABRA","CAR","vice governor",""," 13,388",NA,"DAMASEN, MARLYN M.","INDEPENDENT",TRUE
"10","VASQUEZ, ISIDRO F.          SID                               LAKAS NUCD-UMDP          12,452","1/12","ABRA","CAR","vice governor",""," 12,452",NA,"VASQUEZ, ISIDRO F.","LAKAS NUCD-UMDP",TRUE
"11","SENGA, JULIA D.             MATOK                             IBID                     1,947","1/12","ABRA","CAR","vice governor",""," 1,947",NA,"SENGA, JULIA D.","IBID",TRUE
"12","VELASCO, ELMER B.           ELMER                             INDEPENDENT              1,517","1/12","ABRA","CAR","vice governor",""," 1,517",NA,"VELASCO, ELMER B.","INDEPENDENT",TRUE
"13","DOMES-AG, ANTONIO A.        TONY                              PDSP                     18,338   May 18,2001","1/12","ABRA","CAR","board member","1ST DISTRICT"," 18,338","May 18,2001","DOMES-AG, ANTONIO A.","PDSP",TRUE
"14","FLORES, EDGARDO G.          EDGAR                             INDEPENDENT              13,737   May 18,2001","1/12","ABRA","CAR","board member","1ST DISTRICT"," 13,737","May 18,2001","FLORES, EDGARDO G.","INDEPENDENT",TRUE
"15","BEROÑA, JONATHAN -          JONATHAN                          PDSP                     13,559   May 18,2001","1/12","ABRA","CAR","board member","1ST DISTRICT"," 13,559","May 18,2001","BEROÑA, JONATHAN -","PDSP",TRUE
"16","VALERA, VICTOR A.           VIC                               LAKAS NUCD-UMDP          12,049   May 18,2001","1/12","ABRA","CAR","board member","1ST DISTRICT"," 12,049","May 18,2001","VALERA, VICTOR A.","LAKAS NUCD-UMDP",TRUE
"17","PACSA, ERNESTO C.           ERNING                            INDEPENDENT              11,082","1/12","ABRA","CAR","board member","1ST DISTRICT"," 11,082",NA,"PACSA, ERNESTO C.","INDEPENDENT",TRUE
